Hotel Name,Address,Barangay,City / Town,Province,Amenities, Price Range ,Available Rooms,Other Data,Reviews
Cauayan Island Resort and Spa (El Nido),"Cauayan Island, Bacuit Bay, Palawan, 5313 El Nido, Philippines",Buena Suerte Poblacion,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle
Non-smoking rooms
Room service
Fitness center
Restaurant
Tea/Coffee Maker in All Rooms
Bar
Private beach area
Breakfast","35,530.00",29,"Land and boat transfers
With Own Pier
Solar Powered",149
El Nido Resorts Lagen Island (El Nido),"Bacuit Bay, Palawan, 5313 El Nido, Philippines ",Aberawan,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle (free)
Non-smoking rooms
Room service
Restaurant
Facilities for disabled guests
Free WiFi
Spa
Bar","31,500.00",9,"Land and Air transfers
Sustainability Policy",13
Vellago Resort (El Nido),"Outside El Nido Town Proper, Seven Commando Beach, Palawan, 5313 El Nido, Philippines ",Buena Suerte Poblacion,El Nido,Palawan,"Airport shuttle
Room service
Restaurant
Beachfront
Free WiFi
24-hour front desk
Tea/Coffee Maker in All Rooms
Bar","27,880.00",6,"Land and Air Transfers
Non-smoking rooms
",72
Club Paradise Palawan (Coron),"Dimakya Island, Palawan, 5316 Coron, Philippines",San Jose,Coron,Palawan,"Outdoor swimming pool
Airport shuttle (free)
Room service
Fitness center
Restaurant
Beachfront
Tea/Coffee Maker in All Rooms
Bar
Private beach area","12,525.00",67,"Land and Air Transfers
Non-smoking rooms
",323
Two Seasons Coron Island Resort,"Malaruyroy, Bulalacao, Palawan, 5316 Bulalacao, Philippines",Bulalacao,Coron,Palawan,"Outdoor swimming pool
Airport shuttle (free)
Free WiFi
Room service
Fitness center
Restaurant
Spa
Bar
Private beach area","27,000.00",47,Land and Air Transfers,64
Nacpan Beach Resort,"Nacpan Beach, Barangay Bucana, 5313 El Nido, Philippines",Bucana,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle
Free parking
Room service
Restaurant
Free WiFi
Family rooms
Bar
Excellent Breakfast","8,640.00",21,"Land and Air Transfers
Non-smoking rooms
",360
Astoria Palawan," Km 62 North National Highway, Barangay San Rafael, Puerto Princesa, 5300 Puerto Princesa, Philippines",San Rafael,Puerto Princesa,Palawan,"Outdoor swimming pool
Airport shuttle
Fitness center
Room service
Restaurant
Free parking
Free WiFi
Private beach area
Wonderful Breakfast","4,344.00",76,"Land and Air Transfers
Non-smoking rooms
",264
Hue Hotels and Resorts Puerto Princesa Managed by HII,"Km. 3 Puerto Princesa North Road, Brgy. San Manuel, Palawan, 5300 Puerto Princesa, Philippines ",San Manuel,Puerto Princesa,Palawan,"Outdoor swimming pool
Non-smoking rooms
Fitness center
Spa
Room service
Restaurant
Free parking
Tea/Coffee Maker in All Rooms
Bar","3,137.00",122,"Non-smoking rooms
Facilities for disabled guests",853
LIHIM RESORTS,"999 Sitio Caalan, Brgy. Masagana, 5313 El Nido, Philippines",Masagana,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle (free)
Room service
Fitness center
Restaurant
Facilities for disabled guests
Tea/Coffee Maker in All Rooms
Bar
Breakfast","39,286.00",21,"Land and Air Transfers
Non-smoking rooms
",46
Daluyon Beach and Mountain Resort,"Sabang Beach, Sitio Sabang, Barangay Cabayugan, Puerto Princesa, Palawan, 5300 Sabang, Philippines",Cabayugan,Puerto Princesa,Palawan,"Outdoor swimming pool
Airport shuttle
Non-smoking rooms
Spa
Free parking
Beachfront
Facilities for disabled guests
Free WiFi
Private beach area
Breakfast
","6,697.00",24,"Land and Air transfers
Non-smoking rooms
Facilities for disabled guests",47
Panja Resort Palawan,"Bay Vista Road, Barangay Tagburos, Palawan, 5300 Puerto Princesa, Philippines ",Tagburos,Puerto Princesa,Palawan,"Outdoor swimming pool
Spa
Room service
Restaurant
Free parking
Free WiFi
Tea/Coffee Maker in All Rooms
Bar
Good Breakfast","4,063.00",35,"Non-smoking rooms
",302
Buko Beach Resort,"Lot 10, Sitio Lugadia, Barangay Corong Corong, Palawan, 5313 El Nido, Philippines",Corong Corong,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle
Room service
Restaurant
Beachfront
Free WiFi
Tea/Coffee Maker in All Rooms
Bar
Breakfast","18,400.00",8,"Land and Air transfers
Non-smoking rooms",116
Frangipani El Nido,"National Highway, Barangay Corong Corong, Palawan, 5313 El Nido, Philippines",Corong Corong,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle (free)
Free parking
Restaurant
Beachfront
Free WiFi
Bar
Breakfast","20,888.00",7,"Land and Air transfers
Non-smoking rooms",69
Matinloc Resort,"Matinloc Island, Palawan, 5313 El Nido, Philippines",Bebeladan,El Nido,Palawan,"2 swimming pools
Airport shuttle
Room service
Fitness center
Restaurant
Beachfront
Free WiFi
Spa
Private beach area","15,625.00",28,"Land and Air transfers
Non-smoking rooms",93
Busuanga Bay Lodge (Busuanga),"Sitio Lawi, Barangay Concepcion, Busuanga, Palawan, 5317 Busuanga, Philippines",,Busuanga,Palawan,"Outdoor swimming pool
Free WiFi
Fitness center
Spa
2 restaurants
Room service
Family rooms
Bar","7,980.00",14,"Land and Air transfers
Non-smoking rooms",44
H Hotel El Nido - Vegetarian Vegan Hotel,"Real Street H Hotel, 5313 El Nido, Philippines ",,El Nido,Palawan,"Airport shuttle (free)
Family rooms
Restaurant
Free parking
Spa
24-hour front desk
Room service
Bar
Exceptional Breakfast","8,512.00",42,"Land and Air transfers
Non-smoking rooms",0
Bacau Bay Resort Coron,"Governor's Drive, Sitio Jolo, Poblacion 5, Palawan, 5316 Coron, Philippines ",Barangay V,Coron,Palawan,"Outdoor swimming pool
Airport shuttle
Free parking
Room service
Fitness center
Restaurant
Tea/Coffee Maker in All Rooms
Bar
Good Breakfast","6,885.00",79,"Land and Air transfers
Non-smoking rooms",363
Carpe Diem Villas & Resort,"F. Ponce de Leon Road, 5300 Puerto Princesa, Philippines",San Pedro,Puerto Princesa,Palawan,"Outdoor swimming pool
Airport shuttle
Non-smoking rooms
Spa
Room service
Restaurant
Free parking
Free WiFi
Bar
Breakfast","5,100.00",11,"Land and Air transfers
Non-smoking rooms
Newly Opened",54
Lagun Hotel,"Balinsasayaw Road, Barangay Maligaya, National Highway, Palawan, 5313 El Nido, Philippines",Maligaya,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle
Free parking
Room service
Restaurant
Facilities for disabled guests
Free WiFi
Spa
Bar","4,786.00",37,"Land and Air transfers
Non-smoking rooms",255
Huni Lio,"Lio Tourism Estate, Palawan, 5310 El Nido, Philippines ",,El Nido,Palawan,"Outdoor swimming pool
Free WiFi
Airport shuttle (free)
Family rooms
Restaurant
Facilities for disabled guests
Room service
Tea/Coffee Maker in All Rooms
Bar","8,178.00",100,"Land and Air transfers
Non-smoking rooms",10
Fernvale Leisure Club and Resort," Fernvale Living and Leisure Village, Acacia Avenue, Palawan, 5316 Coron, Philippines",,Coron,Palawan,"3 swimming pools
Free WiFi
Airport shuttle (free)
Family rooms
Restaurant
Free parking
Room service
Bar
Breakfast","4,232.00",18,"Land and Air transfers
Non-smoking rooms",153
Best Western Plus The Ivywall Hotel (Puerto Princesa City),"Rizal Avenue Extension, 5300 Puerto Princesa, Philippines ",San Miguel,Puerto Princesa,Palawan,"Outdoor swimming pool
Airport shuttle (free)
Non-smoking rooms
Room service
7 restaurants
Free parking
Facilities for disabled guests
Tea/Coffee Maker in All Rooms
Bar
Breakfast","4,640.00",25,"Land and Air transfers
Non-smoking rooms",0
Tag Resort,"National Highway Sitio Dipulao, Barangay Poblacion 6, 5316 Coron, Philippines",Barangay VI,Coron,Palawan,"Outdoor swimming pool
Airport shuttle
Free parking
Room service
3 restaurants
Free WiFi
Tea/Coffee Maker in All Rooms
Bar","5,656.00",78,"Land and Air transfers
Non-smoking rooms",350
Seda Lio,"Lio Tourism Estate, Barangay Villa Libertad, Palawan, 5313 El Nido, Philippines",Villa Libertad,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle
Free parking
Room service
Fitness center
Tea/Coffee Maker in All Rooms
Bar
Private beach area
Good Breakfast","13,819.00",152,"Land and Air transfers
Non-smoking rooms",283
The Funny Lion - Coron,"Sitio Jolo, Poblacion V, Palawan, Coron Town Proper, 5316 Coron, Philippines",Barangay V,Coron,Palawan,"Outdoor swimming pool
Airport shuttle
Free parking
Room service
2 restaurants
Free WiFi
Spa
Bar
Breakfast","7,650.00",45,"Land and Air transfers
Non-smoking rooms",352
Munting Paraiso,"Abueg Road, Bancao Bancao, Palawan, 5300 Puerto Princesa, Philippines",Bancao Bancao,Puerto Princesa,Palawan,"Outdoor swimming pool
Fitness center
Room service
Restaurant
Free parking
Facilities for disabled guests
Tea/Coffee Maker in All Rooms
Bar","4,370.00",12,"Land and Air transfers
Non-smoking rooms",275
Corto del Mar Hotel,"Commiseria Street Barangay 1, Coron Town Proper, 5316 Coron, Philippines",Barangay I,Coron,Palawan,"Outdoor swimming pool
Free WiFi
Family rooms
Restaurant
Free parking
Room service
Tea/Coffee Maker in All Rooms
Bar
Breakfast","6,912.00",17,Non-smoking rooms,531
Coron Westown Resort,"Sitio Dipulao, Barangay Poblacion 6, 5316 Coron, Philippines",Barangay VI,Coron,Palawan,"2 swimming pools
WiFi
Airport shuttle
Restaurant
Free parking
Fitness center
Spa
Bar
Breakfast","5,054.00",76,"Land and Air transfers
Non-smoking rooms",226
Princesa Garden Island Resort and Spa,"Barangay Bancao-bancao, Caniguiran, Palawan, 5300 Puerto Princesa, Philippines ",Bancao Bancao,Puerto Princesa,Palawan,"2 swimming pools
Fitness center
Room service
4 restaurants
Free parking
Facilities for disabled guests
Bar
Breakfast","10,500.00",68,"Land and Air transfers
Non-smoking rooms",98
Two Seasons Coron Bayside Hotel,"National Road, Barangay Tagumpay, Palawan, Coron Town Proper, 5316 Coron, Philippines",Tagumpay,Coron,Palawan,"Outdoor swimming pool
Airport shuttle
Room service
Fitness center
Restaurant
Free WiFi
Family rooms
Bar
Wonderful Breakfast","8,000.00",54,"Land and Air transfers
Non-smoking rooms",329
Aziza Paradise Hotel,"BM Road, Barangay San Manuel, Palawan, 5300 Puerto Princesa, Philippines",San Manuel,Puerto Princesa,Palawan,"2 swimming pools
Airport shuttle (free)
Fitness center
Room service
5 restaurants
Free parking
Facilities for disabled guests
Free WiFi
Family rooms","3,115.00",128,"Land and Air transfers
Non-smoking rooms",706
 Citystate Asturias Hotel Palawan (Puerto Princesa City),"South National Highway , Tiniguiban, 5300 Puerto Princesa, Philippines ",Tiniguiban,Puerto Princesa,Palawan,"Outdoor swimming pool
Airport shuttle (free)
Fitness center
Spa
Room service
Restaurant
Facilities for disabled guests
Free WiFi
Breakfast","2,800.00",126,"Land and Air transfers
Non-smoking rooms",49
Asia Grand View Hotel (Coron),"Governors Avenue, Jolo, Barangay 5, 5316 Coron, Philippines – Great location - show map",Barangay V,Coron,Palawan,"Outdoor swimming pool
Airport shuttle
Free parking
Room service
Restaurant
Free WiFi
Spa
Family rooms
Bar","7,650.00",20,"Land and Air transfers
Non-smoking rooms",83
Coron Hilltop View Resort,"Brgy. Poblacion 6, Sitio Dipulao, Coron, 5316 Coron, Philippines",Conception,Coron,Palawan,"Outdoor swimming pool
Airport shuttle
Family rooms
Free parking
Room service
Breakfast","4,000.00",11,"Land and Air Transfers
Non-smoking rooms
Facilities for disabled guests
Travel Sustainable property
",14
Dianna’s Inn (Coron),"9 Nueva Street, Coron Town Proper, 5316 Coron, Philippines ",,Coron,Palawan,"Free WiFi
Airport shuttle
Family rooms
Free parking
Non-smoking rooms
Breakfast","1,824.00",13,"Land and Air transfers
Non-smoking rooms",86
UNCERTAIN AVAILABILITY: Maremegmeg Beach Club (El Nido),"Taytay - El Nido National Highway, 5313 El Nido, Philippines",,El Nido,Palawan,"Outdoor swimming pool
Free WiFi
Beachfront
Airport shuttle
Restaurant
Free parking
Non-smoking rooms
Tea/Coffee Maker in All Rooms
Bar
Breakfast",,12,"Land and Air transfers
Non-smoking rooms",43
UNCERTAIN AVAILABILITY: El Nido Resorts Pangulasian Island (El Nido),"Bacuit Bay, Palawan, 5313 El Nido, Philippines ",Buena Suerte Poblacion,El Nido,Palawan,"Outdoor swimming pool
Free WiFi
Beachfront
Airport shuttle (free)
Restaurant
Fitness center
Spa
Non-smoking rooms
Facilities for disabled guests
Bar",,42,"Land and Air transfers
Non-smoking rooms",3
UNCERTAIN AVAILABILITY: AL FARO Cosmio Hotel Palawan (Busuanga),"D'Pearl Bay Coron, Palawan, 5317 Busuanga, Philippines",,Busuanga,Palawan,"Outdoor swimming pool
Free WiFi
Airport shuttle (free)
Non-smoking rooms
Spa
Room service
Bar",,12,"Land and Air transfers
Non-smoking rooms",139
UNCERTAIN AVAILABILITY: Mahogany Resort & Spa (El Nido),"Corong Corong Beach, Palawan, 5313 El Nido, Philippines",Corong Corong,El Nido,Palawan,"Outdoor swimming pool
Free WiFi
Beachfront
Airport shuttle
Family rooms
Restaurant
Tea/Coffee Maker in All Rooms
Bar
Private beach area
Breakfast",,10,"Land and Air transfers
",168
Sotogrande Hotel Palawan (Puerto Princesa City),"KM10 National Highway, Purok Masigla, Barangay Tagburos, Palawan, 5300 Puerto Princesa, Philippines",Tagburos,Puerto Princesa,Palawan,"Outdoor swimming pool
Free WiFi
Airport shuttle
Restaurant
Free parking
Fitness center
Room service
Tea/Coffee Maker in All Rooms
Bar","3,636.00",147,"Land and Air transfers
Non-smoking rooms",0
