,Restaurant Name,Address,Barangay,City / Town,Province,Price Range (Max), Specialty ,Other Data
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV
2,Pergola Thai and European Restaurant,"Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",,Puerto Princesa,Palawan,1400,"Asian, Thai, Vegetarian options",TakeawayBookingWheelchair accessible
3,Ima's Vegetarian Restaurant,"333 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400," Vegetarian Vegetarian, Mexican ",Outdoor seatingTakeawayDeliveryBookingWheelchair accessible
4,"Asiano gourmet cuisine, Seafood & Vegetarian restaurant","Beach Front, Sitio Sabang, BRGY, Puerto Princesa, MIMAROPA, Philippines",Cabayugan,Puerto Princesa,Palawan,2800,"Filipino, Seafood, Asian, Vegetarian options",DeliveryTakeawayBooking
5,Haim Chicken,"294 Manalo St, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400,"Filipino, Asian, Grill, Vegetarian options",DeliveryOutdoor seatingWi-Fi?redit cards acceptedTakeawayBookingWheelchair accessibleParkingTV
6,Badjao Seafront Restaurant,"PPHX+4V5, Abueg St, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,2800,"Seafood, Asian, Filipino, Vegetarian options",Wi-Fi?redit cards acceptedOutdoor seatingBookingTakeawayWheelchair accessibleParkingTV
7,Artisans,"Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",,Puerto Princesa,Palawan,1400,Vegetarian options,Outdoor seatingTakeawayDeliveryBookingWheelchair accessibleParking
8,CAPTAIN RIBS,"MANALO EXT. ROAD 295, BGY BANCAO-BANCAO, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,1400,"American, European, Filipino, Barbecue, Vegetarian options",Outdoor seatingWi-Fi?redit cards acceptedBookingTakeawayWheelchair accessibleParking
9,La Terrasse Cafe,"PQQ3+PJP, Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",,Puerto Princesa,Palawan,1400," Coffee, Filipino  ",Wi-Fi?redit cards acceptedOutdoor seatingBookingNo deliveryTakeawayWheelchair accessibleParkingTV
10,Tataboom Bar & Restaurant,"355 Dagomboy Village, Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400," Filipino, Asian, Vegetarian options ",Outdoor seatingCash onlyDeliveryTakeawayBookingWheelchair accessibleWi-FiParkingTV
11,White Fence Cafe,"296 M. Manalo Extension, Puerto Princesa, MIMAROPA, Philippines, 5300",Bancao Bancao,Puerto Princesa,Palawan,1400," American, Asian, Filipino, International, Vegetarian options ",Outdoor seatingWi-Fi?redit cards acceptedBookingNo deliveryTakeawayTV
12,Painted Table,"PPWW+GH4 Canvas Botique Hotel, North Road, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400," Mexican, International, Vegetarian options ",?redit cards acceptedOutdoor seatingWi-FiTakeawayParkingBookingWheelchair accessible
13,Pizzeria Roma,"27 Wescom Rd, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,630," Pizzeria, Italian ",DeliveryTakeawayBooking
14,L element Bar and Seafood Restaurant,"355 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines, 5300",San Miguel,Puerto Princesa,Palawan,1400,,Outdoor seatingTakeawayBookingCash onlyWi-FiParking
15,Wines Cold Cuts Restaurant Cortes Albao,"418 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,2800,Spanish Pub & bar,DeliveryOutdoor seatingTakeawayBookingWi-FiParking
16,Balinsasayaw Chicken Grill and Restaurant,"PPPW+4XH, A. Rengel Rd, Puerto Princesa, MIMAROPA, Philippines",Milagrosa,Puerto Princesa,Palawan,1400,"Filipino, Seafood, Vegetarian options",?redit cards acceptedOutdoor seatingBookingDeliveryTakeawayWheelchair accessible
17,Tomato&Basil,"PQJC+RJ4, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,1400,"Italian, Pizzeria",TakeawayBooking?redit cards acceptedDeliveryOutdoor seatingWi-FiParkingWheelchair accessible
18,We Be Sushi Bar & Restaurant – Hotel Fleuris,"PPRR+WC4, Lacao Street, Puerto Princesa, MIMAROPA, Philippines",,Puerto Princesa,Palawan,1400,Sushi,Outdoor seatingTakeawayBookingWheelchair accessible?redit cards acceptedWi-FiParking
19,The Orange Gecko Tagua'n,"129 F. Villarosa Rd, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,730,"European, International, Vegetarian options",Outdoor seatingTakeawayBookingWheelchair accessible
20,Bersian Restaurant,"Puerto Princesa North Road, Puerto Princesa, MIMAROPA, Philippines",,Puerto Princesa,Palawan,850,"Mediterranean, Greek, Middle Eastern, Vegetarian options",Outdoor seatingCash onlyDeliveryTakeawayBookingWheelchair accessibleWi-FiParking
21,Namaskar Vegetarian House,"Burgos St, Puerto Princesa, MIMAROPA, Philippines",,Puerto Princesa,Palawan,570,Vegetarian Vegetarian,Outdoor seatingTakeawayWheelchair accessible
22,Lawiswis Ecostore and Restaurant,"Irawan-Sta.Lourdes circumferential road Bgy, Irawan - Tagburos Rd, Puerto Princesa, MIMAROPA, Philippines",Irawan,Puerto Princesa,Palawan,1400,Filipino ,Outdoor seatingDeliveryTakeawayBooking
23,Olio e Basilico Ristorante,"PQM4+MGF, F. Villarosa Rd, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,1400,"Italian, Pizza, Seafood",Outdoor seating
24,Lale' Restaurant,"LGQ Building, National Hiway, corner D Delos Reyes Rd, Puerto Princesa, MIMAROPA, Philippines",San Pedro,Puerto Princesa,Palawan,1400,"Indian, Thai, Asian, Healthy food, Vegetarian options",Cash onlyTakeawayParkingBookingWheelchair accessible
25,Kajoels Restaurant,"Purok Centro, Barangay, Puerto Princesa, MIMAROPA, Philippines",,Puerto Princesa,Palawan,1400,Filipino ,Outdoor seatingTakeawayCash onlyBookingWheelchair accessible
26,Max & Bunny,"Lansanas Rd, Puerto Princesa, MIMAROPA, Philippines",San Pedro,Puerto Princesa,Palawan,1400,"Italian, Filipino, American, Asian, European, Austrian, Vegetarian options",Outdoor seatingWi-FiTakeawayDeliveryBookingWheelchair accessible
27,GUNI GUNI BISTRO,"263 Manalo St, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,1400,"Italian, American, Asian, Mexican",?redit cards acceptedDeliveryOutdoor seatingTakeawayBooking
28,NomNom Comfort Food,"Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",,Puerto Princesa,Palawan,1400,Filipino ,Cash onlyDeliveryOutdoor seatingTakeawayBookingWheelchair accessibleWi-FiParkingTV
29,Cacaoyan Restaurant,"5VHR+822, Unnamed Road, Puerto Princesa, MIMAROPA, Philippines",,Puerto Princesa,Palawan,,,TakeawayBooking
30,Daluyon Beach and Mountain Resort,"Sabang Beach, Puerto Princesa, MIMAROPA, Philippines",Cabayugan,Puerto Princesa,Palawan,1400,"Filipino, Asian, Vegetarian options",Outdoor seatingWi-Fi?redit cards acceptedTakeawayParkingBookingWheelchair accessible
31,Neva’s Place,"48A Taft Street, Puerto Princesa, MIMAROPA, Philippines",Maligaya,Puerto Princesa,Palawan,1400,"Pizzeria, Italian",Outdoor seatingTakeaway?redit cards acceptedDeliveryBookingWheelchair accessible
32,KaJoels Inato Restaurant,"PQQ2+QX8, 414 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,1400,"Filipino Seafood, BBQ",Outdoor seatingTakeawayCash onlyWi-FiBooking
33,"Kusinero's ""tacos and burgers""","420 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,850,"Asian, Filipino, Mexican, Vegetarian options",DeliveryOutdoor seatingTakeawayWi-FiParkingBookingTV
34,Hen House American BBQ and Smoke Pit,"Dagumboy Village, In Front Of Citra Mina Market, Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400,"BBQ, ",Outdoor seating
35,Hibiscus Garden Inn Hotel,"Manalo Extension Barangay, Puerto Princesa, MIMAROPA, Philippines",,Puerto Princesa,Palawan,,Cocktail Bar,Outdoor seating
36,Ka Inato,"National Highway, Puerto Princesa, MIMAROPA, Philippines, 5300",,Puerto Princesa,Palawan,1400,"Asian, Filipino, Barbecue, Seafood, Vegetarian options",Outdoor seatingBookingWi-FiTakeawayParkingWheelchair accessible
37,Lato Coffee and Restaurant,"Stall 3, Sandoval Street, Baywalk, Puerto Princesa, MIMAROPA, Philippines",Bagong Pag-asa,Puerto Princesa,Palawan,2800,"Coffee house, Coffee, Desserts",Outdoor seatingTakeawayBooking
